epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7262983322143555,1.1591987609863281,0.7680383324623108,1.1544605493545532
1,0.8214119076728821,0.6637494564056396,0.841906726360321,0.6770225763320923
2,0.8438195586204529,0.5615811347961426,0.8523562550544739,0.5451865792274475
3,0.8570735454559326,0.5003504753112793,0.8678489923477173,0.4960203170776367
4,0.8676641583442688,0.45401448011398315,0.8682177662849426,0.4784179627895355
5,0.8777819275856018,0.4161638617515564,0.879660427570343,0.4398512542247772
6,0.8855999112129211,0.38833317160606384,0.8421363830566406,0.577032744884491
7,0.8902441263198853,0.3665386140346527,0.8839088082313538,0.4533518850803375
8,0.896960973739624,0.3414163291454315,0.8887928128242493,0.37997815012931824
9,0.9025706648826599,0.3214419186115265,0.8892833590507507,0.38001519441604614
10,0.9069186449050903,0.3034070134162903,0.898417055606842,0.36487746238708496
11,0.910969078540802,0.287556529045105,0.8986272215843201,0.38495585322380066
12,0.9145687818527222,0.2728782892227173,0.8975382447242737,0.4061509966850281
13,0.9188725352287292,0.2622317671775818,0.9023077487945557,0.3511163294315338
14,0.9218398928642273,0.2520526945590973,0.9027695655822754,0.3351278007030487
15,0.9241811633110046,0.24231839179992676,0.9036452174186707,0.35601434111595154
16,0.9268678426742554,0.2331244796514511,0.9048860669136047,0.3382474184036255
17,0.9284777045249939,0.22794485092163086,0.9095268845558167,0.3206428289413452
18,0.9303358793258667,0.22016511857509613,0.9088537693023682,0.3571442663669586
19,0.9323261976242065,0.21344873309135437,0.9079645872116089,0.33245208859443665
20,0.9338836669921875,0.20705755054950714,0.9111181497573853,0.3194407522678375
21,0.9355968236923218,0.20254464447498322,0.9113712310791016,0.32299160957336426
22,0.9378206729888916,0.19541706144809723,0.9117631912231445,0.31941571831703186
23,0.9386435151100159,0.19139738380908966,0.9060953855514526,0.3696506917476654
24,0.9393020272254944,0.18835748732089996,0.9117735028266907,0.34210318326950073
25,0.9404599070549011,0.18407002091407776,0.9125478267669678,0.3182417154312134
26,0.9419491291046143,0.1785467118024826,0.911336362361908,0.3374681770801544
27,0.9428759217262268,0.17392128705978394,0.9149571657180786,0.32824528217315674
28,0.9437867999076843,0.17081721127033234,0.9100589752197266,0.3528238534927368
29,0.9445393681526184,0.16781604290008545,0.9103018045425415,0.3517802953720093
30,0.9457314014434814,0.1637984961271286,0.9124616384506226,0.3415466248989105
